Deliverable#;GN ID;Channel;SKY;Gracenote;Service Key;Merlin ID
Deliverable 1;98975;REAL TIME HD/SD;https://it.imageservice.sky.com/logo/skychb_507realtimehd;https://myriad.merlin.comcast.com/select/logo?entityId=7558826415318139117;507;7558826415318139117
Deliverable 1;84647;MEDIASET EXTRA;https://it.imageservice.sky.com/logo/skychb_5443mediasetextra;https://myriad.merlin.comcast.com/select/logo?entityId=8482120713629524117;5443;8482120713629524117
Deliverable 1;111094;GIALLO HD;https://it.imageservice.sky.com/logo/skychb_3655giallohd;https://myriad.merlin.comcast.com/select/logo?entityId=7409932804115681117;3655;7409932804115681117
Deliverable 1;84717;TOP CRIME;https://it.imageservice.sky.com/logo/skychb_5445topcrime;https://myriad.merlin.comcast.com/select/logo?entityId=5587928413276067117;5445;5587928413276067117
Deliverable 1;98967;DMAX HD/SD;https://it.imageservice.sky.com/logo/skychb_5414dmaxhd;https://myriad.merlin.comcast.com/select/logo?entityId=6963676070962710117;5414;6963676070962710117
Deliverable 1;84648;MEDIASET ITALIA 2;https://it.imageservice.sky.com/logo/skychb_5444mediasetitalia2;https://myriad.merlin.comcast.com/select/logo?entityId=8572387653506032117;5444;8572387653506032117
Deliverable 3;;EXPLORER HD CHANNEL;https://it.imageservice.sky.com/logo/skychb_534explorerhdchannel;;534;
Deliverable 3;;CLASS TV MODA;https://it.imageservice.sky.com/logo/skychb_811classtvmoda;;811;
Deliverable 2;;SKY UNO SD;https://it.imageservice.sky.com/logo/skychb_718skyuno;;718;
Deliverable 2;;SKY UNO +1 SD;https://it.imageservice.sky.com/logo/skychb_903skyuno1;;903;
Deliverable 2;;SKY ATLANTIC SD;https://it.imageservice.sky.com/logo/skychb_412skyatlantic;;412;
Deliverable 1;109495;SKY SPORT 24 HD/SD;https://it.imageservice.sky.com/logo/skychb_35skysport24hd;https://myriad.merlin.comcast.com/select/logo?entityId=6232962565432856117;35;6232962565432856117
Deliverable 1;122444;SKY SPORT UNO HD/SD;https://it.imageservice.sky.com/logo/skychb_23skysportunohd;https://myriad.merlin.comcast.com/select/logo?entityId=4907561278554067117;23;4907561278554067117
Deliverable 2;;Sky Sport Uno;;;2900;
Deliverable 1;109301;SKY SPORT CALCIO HD/SD;https://it.imageservice.sky.com/logo/skychb_209skysportcalciohd;https://myriad.merlin.comcast.com/select/logo?entityId=8515618466307891117;209;8515618466307891117
Deliverable 1;86302;SKY SPORT FOOTBALL HD/SD;https://it.imageservice.sky.com/logo/skychb_248skysportfootballhd;https://myriad.merlin.comcast.com/select/logo?entityId=5811038315678115117;248;5811038315678115117
Deliverable 1;83763;SKY SPORT ARENA HD/SD;https://it.imageservice.sky.com/logo/skychb_24skysportarenahd;https://myriad.merlin.comcast.com/select/logo?entityId=7884785587013661117;24;7884785587013661117
Deliverable 2;;Sky Sport Arena ;;;2901;
Deliverable 1;122786;SKY SPORT TENNIS HD/SD;https://it.imageservice.sky.com/logo/skychb_559skysporttennishd;https://myriad.merlin.comcast.com/select/logo?entityId=5228589035408743117;559;5228589035408743117
Deliverable 1;122787;SKY SPORT ACTION HD/SD;https://it.imageservice.sky.com/logo/skychb_768skysportactionhd;https://myriad.merlin.comcast.com/select/logo?entityId=8212920492191268117;768;8212920492191268117
Deliverable 2;;Sky Sport Action;;;2902;
Deliverable 1;98963;SKY SPORT F1 HD/SD;https://it.imageservice.sky.com/logo/skychb_478skysportf1hd;https://myriad.merlin.comcast.com/select/logo?entityId=5285082090706574117;478;5285082090706574117
Deliverable 1;108659;SKY SPORT MOTOGP HD/SD;https://it.imageservice.sky.com/logo/skychb_483skysportmotogphd;https://myriad.merlin.comcast.com/select/logo?entityId=6829453808005127117;483;6829453808005127117
Deliverable 1;122913;SKY SPORT NBA HD/SD;https://it.imageservice.sky.com/logo/skychb_764skysportnbahd;https://myriad.merlin.comcast.com/select/logo?entityId=4798243634735620117;764;4798243634735620117
Deliverable 1;91191;EUROSPORT HD;https://it.imageservice.sky.com/logo/skychb_3073eurosporthd;https://myriad.merlin.comcast.com/select/logo?entityId=8985153376137189117;3073;8985153376137189117
Deliverable 1;91193;EUROSPORT 2 HD ;https://it.imageservice.sky.com/logo/skychb_150eurosport2hd;https://myriad.merlin.comcast.com/select/logo?entityId=6386484791923140117;150;6386484791923140117
Deliverable 1;115693;SUPERTENNIS HD;https://it.imageservice.sky.com/logo/skychb_5246supertennishd;https://myriad.merlin.comcast.com/select/logo?entityId=6397092170612693117;5246;6397092170612693117
Deliverable 1;122808;SKY Sport 4K (UHD1);https://it.imageservice.sky.com/logo/skychb_628skysport4k;https://myriad.merlin.comcast.com/select/logo?entityId=5370908341962429117;628;5370908341962429117
Deliverable 2;;Sky Sport 4K;;;2904;
Deliverable 2;;Sky Sport 4K;;;2905;
Deliverable 3;;UNIRESAT HD;https://it.imageservice.sky.com/logo/skychb_5439equtv;;5439;
Deliverable 3;;HORSE TV - HD;https://it.imageservice.sky.com/logo/skychb_5290horsetvhd;;5290;
Deliverable 3;;BIKE;https://it.imageservice.sky.com/logo/skychb_102bike;;102;
Deliverable 1;105242;RAI SPORT ;https://it.imageservice.sky.com/logo/skychb_807raisport;https://myriad.merlin.comcast.com/select/logo?entityId=5274194297455042117;807;5274194297455042117
Deliverable 3;;ACI SPORT TV;https://it.imageservice.sky.com/logo/skychb_445acisporttv;;445;
Deliverable 3;;MS MOTORTV;https://it.imageservice.sky.com/logo/skychb_5417msmotortv;;5417;
Deliverable 3;;MILAN TV;https://it.imageservice.sky.com/logo/skychb_261milantv;;261;
Deliverable 3;;INTER TV;https://it.imageservice.sky.com/logo/skychb_487intertv;;487;
