Deliverable#;GN ID;Channel;SKY;Gracenote;Service Key;Merlin ID
Deliverable 3;;BBC Arabic;https://it.imageservice.sky.com/logo/skychb_5193bbcarabic;;5193;
Deliverable 3;;Sky News Arabia HD;https://it.imageservice.sky.com/logo/skychb_5424skynewsarabiahd;;5424;
Deliverable 3;;TRT World HD;https://it.imageservice.sky.com/logo/skychb_5434trtworldhd;;5434;
Deliverable 3;;2 M Monde;https://it.imageservice.sky.com/logo/skychb_51942mmonde;;5194;
Deliverable 3;;TRT Arabi HD;https://it.imageservice.sky.com/logo/skychb_5483trtarabihd;;5483;
Deliverable 3;;ESC - Al Masriyah;https://it.imageservice.sky.com/logo/skychb_5196escalmasriyah;;5196;
Deliverable 3;;Tunis 7;https://it.imageservice.sky.com/logo/skychb_5197tunis7;;5197;
Deliverable 3;;Canal Algerie;https://it.imageservice.sky.com/logo/skychb_5166canalalgerie;;5166;
Deliverable 3;;Record TV Europa;;;5488;
Deliverable 3;;Vesti;https://it.imageservice.sky.com/logo/skychb_5198rossiya24;;5198;
Deliverable 3;;RTR Planeta;https://it.imageservice.sky.com/logo/skychb_5199rtrplaneta;;5199;
Deliverable 3;;Channel 1 Russia;https://it.imageservice.sky.com/logo/skychb_5201perviykanalromania;;5201;
Deliverable 3;;RT Doc HD;https://it.imageservice.sky.com/logo/skychb_5456rtdochd;;5456;
Deliverable 3;;CCTV - 4;https://it.imageservice.sky.com/logo/skychb_5202cctv4;;5202;
Deliverable 1;85488;DEA KIDS;https://it.imageservice.sky.com/logo/skychb_460deakids;https://myriad.merlin.comcast.com/select/logo?entityId=6480344475241251117;460;6480344475241251117
Deliverable 3;;DEA KIDS +1;https://it.imageservice.sky.com/logo/skychb_31deakids1;;31;
Deliverable 1;90106;NICK JR;https://it.imageservice.sky.com/logo/skychb_424nickjr;https://myriad.merlin.comcast.com/select/logo?entityId=5853319347177832117;424;5853319347177832117
Deliverable 3;;NICK JR +1;https://it.imageservice.sky.com/logo/skychb_38nickjr1;;38;
Deliverable 1;85864;NICKELODEON;https://it.imageservice.sky.com/logo/skychb_320nickelodeon;https://myriad.merlin.comcast.com/select/logo?entityId=8066238340650533117;320;8066238340650533117
Deliverable 3;;NICKELODEON +1;https://it.imageservice.sky.com/logo/skychb_532nickelodeon1;;532;
Deliverable 1;101776;CARTOON NETWORK HD;https://it.imageservice.sky.com/logo/skychb_258cartoonnetworkhd;https://myriad.merlin.comcast.com/select/logo?entityId=8438228900304398117;258;8438228900304398117
Deliverable 3;;CARTOON NETWORK +1;https://it.imageservice.sky.com/logo/skychb_355cartoon1;;355;
Deliverable 1;83921;BOOMERANG;https://it.imageservice.sky.com/logo/skychb_367boomerang;https://myriad.merlin.comcast.com/select/logo?entityId=9200656998761735117;367;9200656998761735117
Deliverable 3;;BOOMERANG +1;https://it.imageservice.sky.com/logo/skychb_343boomerang1;;343;
Deliverable 1;85487;DEA JUNIOR;https://it.imageservice.sky.com/logo/skychb_313deajunior;https://myriad.merlin.comcast.com/select/logo?entityId=8366444999149912117;313;8366444999149912117
Deliverable 1;90076;BABY TV;https://it.imageservice.sky.com/logo/skychb_310babytv;https://myriad.merlin.comcast.com/select/logo?entityId=8935035375911001117;310;8935035375911001117
Deliverable 3;;SUPER!;https://it.imageservice.sky.com/logo/skychb_421super;;421;
Deliverable 1;84635;K2;https://it.imageservice.sky.com/logo/skychb_466k2;https://myriad.merlin.comcast.com/select/logo?entityId=9142362693486699117;466;9142362693486699117
Deliverable 1;84613;FRISBEE;https://it.imageservice.sky.com/logo/skychb_418frisbee;https://myriad.merlin.comcast.com/select/logo?entityId=8986429512549332117;418;8986429512549332117
Deliverable 3;;MTV MUSIC;https://it.imageservice.sky.com/logo/skychb_428mtvmusic;;428;
Deliverable 3;;DEEJAY TV;https://it.imageservice.sky.com/logo/skychb_304deejaytv;;304;
Deliverable 3;;VH1 HD;https://it.imageservice.sky.com/logo/skychb_5330vh1hd;;5330;
Deliverable 3;;RADIO MONTE CARLO;https://it.imageservice.sky.com/logo/skychb_5415radiomontecarlo;;5415;
Deliverable 3;;RDS Social TV;https://it.imageservice.sky.com/logo/skychb_5480rdssocialtv;;5480;
Deliverable 3;;RADIO ITALIA TV HD;https://it.imageservice.sky.com/logo/skychb_5454radioitaliatvhd;;5454;
Deliverable 3;;RADIO ITALIA Trend TV HD;https://it.imageservice.sky.com/logo/skychb_5438radioitaliatrendtvhd;;5438;
Deliverable 3;;KISS KISS TV HD;https://it.imageservice.sky.com/logo/skychb_976kisskisstvhd;;976;
Deliverable 3;;Giornale Radio Tv;https://it.imageservice.sky.com/logo/skychb_5452giornaleradiotv;;5452;
Deliverable 3;;RADIONORBA TV;https://it.imageservice.sky.com/logo/skychb_5430radionorbatv;;5430;
Deliverable 3;;RADIO ZETA HD;https://it.imageservice.sky.com/logo/skychb_5457radiozetahd;;5457;
Deliverable 3;;RTL 102,5 HD ;https://it.imageservice.sky.com/logo/skychb_812rtl1025hd;;812;
Deliverable 3;;RTL 102,5 NEWS  HD;https://it.imageservice.sky.com/logo/skychb_5416rtl1025newshd;;5416;
Deliverable 3;;RADIOFRECCIA HD;https://it.imageservice.sky.com/logo/skychb_5465radiofrecciahd;;5465;
Deliverable 3;;Radio DeeJay (audio);https://it.imageservice.sky.com/logo/skychb_545radiodeejay;;545;
Deliverable 3;;Radio Capital (audio);https://it.imageservice.sky.com/logo/skychb_549radiocapital;;549;
Deliverable 3;;M2O (audio);https://it.imageservice.sky.com/logo/skychb_546m2o;;546;
Deliverable 3;;Radio Montecarlo (audio);https://it.imageservice.sky.com/logo/skychb_556radiomontecarlo;;556;
Deliverable 3;;RADIO 105 (audio);https://it.imageservice.sky.com/logo/skychb_547radio105;;547;
Deliverable 3;;Virgin Radio (audio);https://it.imageservice.sky.com/logo/skychb_548virginradio;;548;
Deliverable 3;;RDS (audio);https://it.imageservice.sky.com/logo/skychb_555rds;;555;
Deliverable 3;;RADIO ITALIA (audio);https://it.imageservice.sky.com/logo/skychb_7740radioitalia;;7740;
Deliverable 3;;Radio KissKiss (audio);https://it.imageservice.sky.com/logo/skychb_550radiokisskiss;;550;
Deliverable 3;;R101 (audio);https://it.imageservice.sky.com/logo/skychb_552r101;;552;
Deliverable 3;;RADIO24 (audio);https://it.imageservice.sky.com/logo/skychb_554radio24;;554;
Deliverable 3;;RTL 102.5 (audio);https://it.imageservice.sky.com/logo/skychb_551rtl1025;;551;
Deliverable 3;;RADIOFRECCIA (audio);https://it.imageservice.sky.com/logo/skychb_8892radiofreccia;;8892;
Deliverable 3;;RADIO ZETA (audio);https://it.imageservice.sky.com/logo/skychb_8878radiozeta;;8878;
Deliverable 3;;INBLU2000;https://it.imageservice.sky.com/logo/skychb_5494inblu2000;;5494;
Deliverable 3;;InBlu;https://it.imageservice.sky.com/logo/skychb_1131inblu;;1131;
Deliverable 3;;Radio Vaticana Europa;https://it.imageservice.sky.com/logo/skychb_181radiovaticanaeuropa;;181;
Deliverable 1;90940;RAI Storia;https://it.imageservice.sky.com/logo/skychb_804raistoria;https://myriad.merlin.comcast.com/select/logo?entityId=8426056279373036117;804;8426056279373036117
Deliverable 1;74232;RAI Scuola;https://it.imageservice.sky.com/logo/skychb_805raiscuola;https://myriad.merlin.comcast.com/select/logo?entityId=6329146921387973117;805;6329146921387973117
Deliverable 1;66185;RAI Gulp;https://it.imageservice.sky.com/logo/skychb_881raigulp;https://myriad.merlin.comcast.com/select/logo?entityId=9200743109684054117;881;9200743109684054117
Deliverable 2;;Test 1;;;2930;
Deliverable 2;;Test 2;;;2931;
Deliverable 2;;Test 3;;;2932;
Deliverable 1;84698;RAI 5;https://it.imageservice.sky.com/logo/skychb_9019rai5;https://myriad.merlin.comcast.com/select/logo?entityId=8412173870247743117;9019;8412173870247743117
Deliverable 1;86763;RAI 4;https://it.imageservice.sky.com/logo/skychb_9008rai4;https://myriad.merlin.comcast.com/select/logo?entityId=7628923377191457117;9008;7628923377191457117
Deliverable 1;84697;RAI Movie;https://it.imageservice.sky.com/logo/skychb_9018raimovie;https://myriad.merlin.comcast.com/select/logo?entityId=9094354796891909117;9018;9094354796891909117
Deliverable 1;90672;RAI Premium;https://it.imageservice.sky.com/logo/skychb_9020raipremium;https://myriad.merlin.comcast.com/select/logo?entityId=8596441200058895117;9020;8596441200058895117
Deliverable 1;84638;La7d;https://it.imageservice.sky.com/logo/skychb_9024la7d;https://myriad.merlin.comcast.com/select/logo?entityId=6599422339345840117;9024;6599422339345840117
Deliverable 1;78968;Boing ;https://it.imageservice.sky.com/logo/skychb_9014boing;https://myriad.merlin.comcast.com/select/logo?entityId=8975232862175440117;9014;8975232862175440117
Deliverable 1;84699;RAI Yoyo;https://it.imageservice.sky.com/logo/skychb_9016raiyoyo;https://myriad.merlin.comcast.com/select/logo?entityId=8666141627823811117;9016;8666141627823811117
Deliverable 1;84592;Cartoonito ;https://it.imageservice.sky.com/logo/skychb_9041cartoonito;https://myriad.merlin.comcast.com/select/logo?entityId=6641083659408346117;9041;6641083659408346117
Deliverable 2;;Board MIX HD;https://it.imageservice.sky.com/logo/skychb_9481onboardmixhd;;9481;
Deliverable 2;;OnBoard Sky;https://it.imageservice.sky.com/logo/skychb_9476onboardskyhd;;9476;
Deliverable 1;122809;SKY CINEMA 4K;https://it.imageservice.sky.com/logo/skychb_680skycinema4k;https://myriad.merlin.comcast.com/select/logo?entityId=7615867065649636117;680;7615867065649636117
